No,Indonesia,Aceh,,Kamus
9873,Mereka membuat jadwal piket kebersihan baru.,awaknyan peugot jadwal piket kebersihan baro.,,
9874,Mereka membuat jadwal piket kebersihan bersama.,awaknyan peugot jadwal piket kebersihan sajan.,,
9875,Mereka membuat jadwal piket kebersihan kelas.,awaknyan peugot jadwal piket kebersihan glah.,,
9876,Mereka membuat jadwal piket kebersihan.,awaknyan peugot jadwal piket kebersihan.,,
9877,Mereka membuat jadwal piket kelas bersama-sama.,awaknyan peugot jadwal piket glah rame-rame.,,
9878,Mereka membuat jadwal piket kelas yang rapi.,awaknyan peugot jadwal piket glah nyang rapi.,,
9879,Mereka membuat jadwal piket mingguan.,awaknyan peugot jadwal piket mingguan.,,
9880,Mereka membuat jadwal piket perpustakaan.,awaknyan peugot jadwal piket perpustakaan.,,
9881,Mereka membuat jadwal rotasi kebersihan.,awaknyan peugot jadwal rotasi kebersihan.,,
9882,Mereka membuat jadwal rotasi tugas kebersihan.,awaknyan peugot jadwal rotasi tugah kebersihan.,,
9883,Mereka membuat jus buah untuk bibi.,awaknyan peugot jus boh keu miwa.,,
9884,Mereka membuat kartu ucapan untuk guru.,awaknyan peugot keureutu ucapan keu gure.,,
9885,Mereka membuat kerajinan anyaman dari kertas.,awaknyan peugot kerajinan anyaman dari keureutah.,,
9886,Mereka membuat kerajinan dari barang bekas.,awaknyan peugot kerajinan barang bekas.,,
9887,Mereka membuat kerajinan dari kardus.,awaknyan peugot kerajinan dari kardus.,,
9888,Mereka membuat kerajinan dari kertas origami.,awaknyan peugot kerajinan dari keureutah origami.,,
9889,Mereka membuat kerajinan tangan dari bahan bekas.,awaknyan peugot kerajinan jaroe dari bahan bekas.,,
9890,Mereka membuat kerajinan tangan dari kain flanel.,awaknyan peugot kerajinan jaroe dari ija flanel.,,
9891,Mereka membuat kerajinan tangan dari kardus bekas.,awaknyan peugot kerajinan jaroe dari kardus bekas.,,
9892,Mereka membuat kerajinan tangan dari kertas warna.,awaknyan peugot kerajinan jaroe dari keureutah wareuna.,,
9893,Mereka membuat kue kering di dapur.,awaknyan peugot kuweh tho bak dapu.,,
9894,Mereka membuat poster bertema kebersihan lingkungan.,awaknyan peugot poster meutema kebersihan lingkongan.,,
9895,Mereka membuat poster bertema lingkungan bersih.,awaknyan peugot poster meutema lingkongan gleh.,,
9896,Mereka membuat poster edukasi bersama-sama.,awaknyan peugot poster edukasi rame-rame.,,
9897,Mereka membuat poster hemat energi bersama-sama.,awaknyan peugot poster hemat energi rame-rame.,,
9898,Mereka membuat poster hemat energi bersama.,awaknyan peugot poster hemat energi bersama.,,
9899,Mereka membuat poster hemat energi di sekolah.,awaknyan peugot poster hemat energi bak sikula.,,
9900,Mereka membuat poster kampanye kebersihan lingkungan.,awaknyan peugot poster kampanye kebersihan lingkongan.,,
9901,Mereka membuat poster kampanye kebersihan.,awaknyan peugot poster kampanye kebersihan.,,
9902,Mereka membuat poster kebersihan lingkungan sekolah.,awaknyan peugot poster kebersihan lingkongan sikula.,,
9903,Mereka membuat poster kebersihan lingkungan.,awaknyan peugot poster kebersihan lingkongan.,,
9904,Mereka membuat poster kegiatan bakti sosial.,awaknyan peugot poster kegiatan bakti sosial.,,
9905,Mereka membuat poster tentang kebersihan lingkungan.,awaknyan peugot poster teuntang kebersihan lingkongan.,,
9906,Mereka membuat poster tentang kebersihan.,awaknyan peugot poster teuntang kebersihan.,,
9907,Mereka membuat poster tentang pentingnya hemat energi.,awaknyan peugot poster teuntang peuntengjih hemat energi.,,
9908,Mereka membuat poster tentang pentingnya kebersihan.,awaknyan peugot poster teuntang peuntengjih kebersihan.,,
9909,Mereka membuat poster untuk kampanye hemat energi.,awaknyan peugot poster keu kampanye hemat energi.,,
9910,Mereka membuat prakarya dari daun kering.,awaknyan peugot prakarya ngon on tho.,,
9911,Mereka membuat undangan acara pernikahan.,awaknyan peugot undangan acara pernikahan.,,
9912,Mereka membuat video dokumentasi acara.,awaknyan peugot vidio dokumentasi acara.,,
9913,Mereka membuat video kreatif untuk lomba konten digital.,awaknyan peugot vidio kreatif keu lomba konten digital.,,
9914,Mereka memetik bunga di kebun bersama-sama.,awaknyan pot bungong bak lampoh rame-rame.,,
9915,Mereka menanam bibit cabai di kebun belakang.,awaknyan pula bibet campli bak lampoh likot.,,
9916,Mereka mencatat daftar belanja mingguan.,awaknyan catat daftar belanja mingguan.,,
9917,Mereka mencatat poin penting dalam diskusi.,awaknyan catat poin peunteng bak diskusi.,,
9918,Mereka mencoba pola makan vegetarian.,awaknyan cuba pola pajoh vegetarian.,,
9919,Mereka mencoba terapi pijat tradisional.,awaknyan cuba terapi urot tradisional.,,
9920,Mereka mencuci baju di kamar mandi.,awaknyan rhah bajee bak kama manoe.,,
9921,Mereka mencuci baju seragam bersama-sama.,awaknyan rhah bajee seragam rame-rame.,,
9922,Mereka mencuci baju seragam sekolah.,awaknyan rhah bajee seragam sikula.,,
9923,Mereka mencuci botol bekas minum.,awaknyan rhah plok bekas jep.,,
9924,Mereka mencuci buah sebelum dimakan bersama.,awaknyan rhah boh sigohlom pajoh sajan,,
9925,Mereka mencuci buah sebelum dimakan.,awaknyan rhah boh sigohlom pajoh.,,
9926,Mereka mencuci buah sebelum disajikan.,awaknyan rhah buah sigohlom jisaji.,,
9927,Mereka mencuci gelas bersama bibi.,awaknyan rhah glah sajan miwa.,,
9928,Mereka mencuci kain bersama nenek.,awaknyan rhah ija sajan nek.,,
9929,Mereka mencuci kaki sebelum masuk kamar tidur.,awaknyan rhah aki sigohlom jitamong kama eh.,,
9930,Mereka mencuci kaki sebelum masuk rumah.,awaknyan rhah aki sigohlom tamong rumoh.,,
9931,Mereka mencuci kaki sebelum naik ke tempat tidur.,awaknyan rhah aki sigohlom ek u teumpat eh.,,
9932,Mereka mencuci kaki sebelum naik ranjang tidur malam.,awaknyan rhah aki sigohlom ek u ranjang eh malam.,,
9933,Siapa yang menyelamatkan trenggiling dari perangkap pemburu?,soe nyang peuselamat trenggiling dari perangkap pemburu?,,
9934,Siapa yang menyusun jadwal latihan tim?,soe nyang suson jadwal latihan tim?,,
9935,Siapa yang merancang taman bunga di kota ini?,soe nyang rancang taman bungong bak kota nyoe?,,
9936,Siapa yang pernah melihat harimau minum di sungai?,soe nyang tom ngieng rimueng jep bak krueng?,,
9937,Siapa yang pernah melihat harimau sumatra secara langsung?,soe nyang tom ngieng rimueng sumatra secara langsong?,,
9938,Siapa yang pernah mendengar suara serigala hutan?,soe nyang tom deungo sue srigala uteuen?,,
9939,Mereka mencuci kaki sebelum naik ranjang tidur.,awaknyan rhah aki sigohlom ek ranjang eh.,,
9940,Mereka mencuci kaki sebelum naik ranjang.,awaknyan rhah aki sigohlom ek ranjang.,,
9941,Mereka mencuci kaki sebelum naik tempat tidur.,awaknyan rhah aki sigohlom ek teumpat eh.,,
9942,Mereka mencuci kaki sebelum tidur malam.,awaknyan rhah aki sigohlom eh malam.,,
9943,Mereka mencuci kaki sebelum tidur.,awaknyan rhah aki sigohlom eh.,,
9944,Mereka mencuci kaki setelah beraktivitas di luar rumah.,awaknyan rhah aki lheueh meuaktivitas di luwa rumoh.,,
9945,Mereka mencuci kaki setelah bermain bola di halaman rumah.,awaknyan rhah aki lheueh meuen bola bak leun rumoh.,,
9946,Mereka mencuci kaki setelah bermain bola di halaman.,awaknyan rhah aki lheueh meuen bola bak leun.,,
9947,Mereka mencuci kaki setelah bermain bola di lapangan.,awaknyan rhah aki lheueh meuen bola bak lapangan.,,
9948,Mereka mencuci kaki setelah bermain bola di taman.,awaknyan rhah aki lheueh meuen bola bak taman.,,
9949,Mereka mencuci kaki setelah bermain bola sore hari.,awaknyan rhah aki lheueh meuen bola seupot uroe.,,
9950,Mereka mencuci kaki setelah bermain bola sore.,awaknyan rhah aki lheueh meuen bola seupot.,,
9951,Mereka mencuci kaki setelah bermain bola.,awaknyan rhah aki lheueh meuen bola.,,
9952,Mereka mencuci kaki setelah bermain di halaman rumah.,awaknyan rhah aki lheueh meuen bak leun rumoh.,,
9953,Mereka mencuci kaki setelah bermain di halaman.,awaknyan rhah aki lheueh meuen bak leun.,,
9954,Mereka mencuci kaki setelah bermain di luar rumah.,awaknyan rhah aki lheueh meuen di luwa rumoh,,
9955,Mereka mencuci kaki setelah bermain di luar.,awaknyan rhah aki lheueh meuen di luwa.,,
9956,Mereka mencuci kaki setelah bermain di taman sore.,awaknyan rhah aki lheueh meuen bak taman seupot.,,
9957,Mereka mencuci kaki setelah bermain di taman.,awaknyan rhah aki lheueh meuen bak taman.,,
9958,Mereka mencuci kaki setelah bermain hujan di halaman.,awaknyan rhah aki lheueh meuen ujeuen bak leun.,,
9959,Mereka mencuci kaki setelah bermain hujan sore.,awaknyan rhah aki lheueh meuen ujeuen seupot.,,
9960,Mereka mencuci kaki setelah bermain hujan.,awaknyan rhah aki lheueh meuen ujeuen.,,
9961,Mereka mencuci kaki setelah bermain lumpur.,awaknyan rhah aki lheueh meuen leuhop.,,
9962,Mereka mencuci kaki setelah bermain.,awaknyan rhah aki lheueh meuen.,,
9963,Mereka mencuci kaki setelah main bola sore.,awaknyan rhah aki lheueh meuen bola seupot.,,
9964,Mereka mencuci kaki setelah main bola.,awaknyan rhah aki lheueh meuen bola.,,
9965,Mereka mencuci kaki setelah main di halaman rumah.,awaknyan rhah aki lheueh meuen bak leun rumoh.,,
9966,Mereka mencuci kaki setelah main di halaman.,awaknyan rhah aki lheueh meuen bak leun.,,
9967,Mereka mencuci kaki setelah pulang sekolah.,awaknyan rhah aki lheueh woe sikula.,,
9968,Mereka mencuci kendaraan bersama paman.,awaknyan rhah kandraan sajan abuwa.,,
9969,Mereka mencuci peralatan makan bersama-sama.,awaknyan rhah peralatan pajoh rame-rame.,,
9970,Mereka mencuci peralatan makan di dapur.,awaknyan rhah peralatan pajoh bak dapu.,,
9971,Mereka mencuci peralatan makan pagi.,awaknyan rhah peralatan pajoh beungoh.,,
9972,Mereka mencuci peralatan makan setelah acara.,awaknyan rhah peralatan pajoh lheueh acara.,,
9973,Mereka mencuci peralatan makan siang bersama.,awaknyan rhah peralatan pajoh cot_uroe sajan.,,
9974,Mereka mencuci peralatan makan siang.,awaknyan rhah peralatan pajoh cot_uroe.,,
9975,Mereka mencuci peralatan makan.,awaknyan rhah peralatan pajoh.,,
9976,Mereka mencuci peralatan masak bersama.,awaknyan rhah peralatan maguen sajan.,,
9977,Mereka mencuci peralatan masak di dapur.,awaknyan rhah peralatan maguen bak dapue.,,
9978,Mereka mencuci piring bekas makan siang.,awaknyan rhah pingan bekas pajoh cot_uroe.,,
9979,Mereka mencuci piring bekas sarapan.,awaknyan rhah pingan bekas sarapan.,,
9980,Mereka mencuci piring bersama nenek.,awaknyan rhah pingan sajan nek.,,
9981,Mereka mencuci piring bersama setelah makan malam.,awaknyan rhah pingan sajan lheueh pajoh malam.,,
9982,Mereka mencuci piring bersama setelah makan siang.,awaknyan rhah pingan sajan lheueh pajoh cot_uroe.,,
9983,Mereka mencuci piring bersama-sama.,awaknyan rhah pingan rame-rame.,,
9984,Mereka mencuci piring di dapur rumah.,awaknyan rhah pingan bak dapu rumoh.,,
9985,Mereka mencuci piring di dapur sekolah.,awaknyan rhah pingan bak dapu sikula.,,
9986,Mereka mencuci piring setelah acara keluarga.,awaknyan rhah pingan lheueh acara keluarga.,,
9987,Mereka mencuci piring setelah acara makan bersama keluarga.,awaknyan rhah pingan lheueh acara sajan keluarga.,,
9988,Mereka mencuci piring setelah acara makan bersama.,awaknyan rhah pingan lheueh acara makan sajan.,,
9989,Mereka mencuci piring setelah acara makan keluarga besar.,awaknyan rhah pingan lheueh acara pajoh keluarga rayek.,,
9990,Mereka mencuci piring setelah acara makan keluarga.,awaknyan rhah pingan lheueh acara pajoh keluarga.,,
9991,Mereka mencuci piring setelah acara makan malam keluarga.,awaknyan rhah pingan lheueh acara pajoh malam keluarga.,,
9992,Mereka mencuci piring setelah acara makan malam.,awaknyan rhah pingan lheueh acara pajoh malam.,,
9993,Mereka mencuci piring setelah acara makan siang.,awaknyan rhah pingan lheueh acara pajoh malam cot_uroe.,,
9994,Mereka mencuci piring setelah makan bersama keluarga besar.,awaknyan rhah pingan lheueh makan sajan keluarga rayek.,,
9995,Mereka mencuci piring setelah makan bersama keluarga.,awaknyan rhah pingan lheueh makan sajan keluarga.,,
9996,Mereka mencuci piring setelah makan bersama saudara.,awaknyan rhah pingan lheueh makan sajan syedara.,,
9997,Mereka mencuci piring setelah makan bersama tetangga.,awaknyan rhah pingan lheueh makan sajan tetangga.,,
9998,Mereka mencuci piring setelah makan bersama-sama.,awaknyan rhah pingan pajoh rame-rame.,,
9999,Mereka mencuci piring setelah makan bersama.,awaknyan rhah pingan lheueh pajoh sajan.,,
10000,Mereka mencuci piring setelah makan malam bersama keluarga.,awaknyan rhah pingan lheueh pajoh malam sajan keluarga.,,
10001,Mereka mencuci piring setelah makan malam bersama saudara.,awaknyan rhah pingan lheueh pajoh malam sajan syedara.,,
10002,Mereka mencuci piring setelah makan malam bersama.,awaknyan rhah pingan lheueh pajoh malam sajan.,,
10003,Mereka mencuci piring setelah makan malam keluarga besar.,awaknyan rhah pingan lheueh pajoh malam keluarga rayek.,,
10004,Mereka mencuci piring setelah makan malam keluarga.,awaknyan rhah pingan lheueh pajoh malam keluarga.,,
10005,Mereka mencuci piring setelah makan malam.,awaknyan rhah pingan lheueh pajoh malam.,,
10006,Mereka mencuci piring setelah makan siang bersama keluarga.,awaknyan rhah pingan lheueh pajoh cot_uroe sajan keluarga.,,
10007,Mereka mencuci piring setelah makan siang bersama.,awaknyan rhah pingan lheueh pajoh cot_uroe sajan.,,
10008,Mereka mencuci piring setelah makan siang.,awaknyan rhah pingan lheueh pajoh cot_uroe.,,
10009,Mereka mencuci piring setelah pesta keluarga.,awaknyan rhah pingan lheueh pesta keluarga.,,
10010,Mereka mencuci tangan sebelum makan bersama.,awaknyan rhah jaroe sigohlom kapajoh sajan.,,
10011,Mereka mencuci tangan sebelum makan malam bersama.,awaknyan rhah jaroe sigohlom pajoh malam sajan.,,
10012,Mereka mencuci tangan sebelum makan malam.,awaknyan rhah jaroe sigohlom pajoh malam.,,
10013,Mereka mencuci tangan sebelum makan pagi.,awaknyan rhah jaroe sigohlom pajoh beungoh.,,
10014,Mereka mencuci tangan sebelum makan siang.,awaknyan rhah jaroe sigohlom pajoh cot_uroe.,,
10015,Mereka mencuci tangan sebelum makan.,awaknyan rhah jaroe sigohlom pajoh.,,
10016,Mereka mencuci tangan sebelum sarapan.,awaknyan rhah jaroe sigohlom sarapan.,,
10017,Mereka mencuci tangan setelah berkebun.,awaknyan rhah jaroe lheueh meulampoh.,,
10018,Mereka mencuci tangan setelah bermain bola.,awaknyan rhah jaroe lheueh meuen bola.,,
10019,Mereka mencuci tangan setelah bermain lumpur.,awaknyan rhah jaroe lheueh meuen leuhop.,,
10020,Mereka mencuci tangan setelah bermain pasir.,awaknyan rhah jaroe lheueh meuen anoe.,,
10021,Mereka mencuci tangan setelah bermain.,awaknyan rhah jaroe lheueh meuen.,,
10022,Mereka mencuci tangan setelah berolahraga.,awaknyan rhah jaroe lheueh meuolahraga.,,
10023,Mereka mencuci tangan setelah olahraga.,awaknyan rhah jaroe lheueh olahraga.,,
10024,Mereka mendekorasi ruang kelas dengan balon warna-warni.,awaknyan dekorasi ruang glah ngon balon wareuna-wareuni.,,
10025,Mereka mendengarkan arahan sebelum kegiatan dimulai.,awaknyan deungo arahan sigohlom kegiatan dimulai.,,
10026,Mereka mendengarkan cerita kakek tentang masa lalu.,awaknyan deungo calitra yahnek teuntang masa dilee.,,
10027,Mereka mendengarkan lagu bersama.,awaknyan deungo lagu sajan.,,
10028,Mereka mendengarkan penjelasan guru dengan serius.,awaknyan deungo penjelasan gure ngon serius.,,
10029,Mereka mengantar bibi ke rumah sakit.,awaknyan intat miwa u rumoh saket.,,
10030,Mereka mengantar bibi pulang ke rumah.,awaknyan intat miwa jakwoe u rumoh .,,
10031,Mereka mengantar makanan ke rumah paman.,awaknyan intat makanan u rumoh abuwa.,,
10032,Mereka mengantar makanan ke rumah tetangga.,awaknyan intat makanan u rumoh tetangga .,,
10033,Mereka mengantarkan bingkisan ke rumah nenek.,awaknyan intat bingkisan u rumoh nek.,,
10034,Mereka menghindari begadang terlalu sering.,awaknyan hindari meugadang that kayem.,,
10035,Mereka mengikuti pelatihan keterampilan kerja.,awaknyan ikot pelatihan keterampilan keureuja.,,
10036,Mereka mengirim surat kepada paman di kampung.,awaknyan intat surat keu paman bak gampong.,,
10037,Mereka menjemur padi di halaman luas.,awaknyan adee pade bak leun luwah.,,
10038,Mereka menonton film edukasi di ruang multimedia.,awaknyan nonton film edukasi bak ruang multimedia.,,
10039,Mereka menonton film keluarga.,awaknyan nonton film keluarga.,,
10040,Mereka menonton konser musik bersama.,awaknyan nonton konser musik sajan.,,
10041,Mereka menonton televisi bersama kakek di ruang keluarga.,awaknyan nonton televisi sajan yahnek bak ruang keluarga.,,
10042,Mereka menyiapkan acara bakti sosial bersama komunitas.,awaknyan peusiap acara bakti sosial sajan komunitas.,,
10043,Mereka menyiapkan acara perpisahan sederhana.,awaknyan peusiap acara perpisahan sederhana.,,
10044,Mereka menyiapkan bumbu dapur di meja.,awaknyan peusiap bumbu dapu bak meja.,,
10045,Mereka menyiapkan dekorasi ruangan untuk acara.,awaknyan peusiap dekorasi ruangan keu acara.,,
10046,Mereka menyiapkan dekorasi untuk acara sekolah.,awaknyan peusiap dekorasi keu acara sikula.,,
10047,Mereka menyiapkan peralatan makan untuk tamu.,awaknyan peusiap peralatan pajoh keu jamee.,,
10048,Mereka menyiapkan peralatan piknik.,awaknyan peusiap peralatan piknik.,,
10049,Mereka menyiapkan perlengkapan piknik bersama keluarga.,awaknyan peusiap perlengkapan piknik sajan keluarga.,,
10050,Mereka menyiapkan perlengkapan untuk lomba kebersihan.,awaknyan peusiap perlengkapan keu lumba kebersihan.,,
10051,Mereka menyiapkan poster untuk lomba kreativitas.,awaknyan peusiap poster keu lumba kreativitas.,,
10052,Mereka merapikan alat tulis di meja.,awaknyan peurapi alat tuleh bak meja.,,
10053,Mereka merapikan aula sebelum acara dimulai.,awaknyan peurapi aula sigohlom acara dimulai.,,
10054,Mereka merapikan halaman rumah bersama kakek.,awaknyan peurapi leun rumoh sajan yahnek.,,
10055,Mereka merapikan meja makan.,awaknyan peurapi meja pajoh.,,
10056,Mereka merapikan ruang_tamu bersama bibi.,awaknyan peurapi seuramoe sajan miwa.,,
10057,Mereka merayakan ulang tahun bersama teman-teman.,awaknyan rayakan ulang thon sajan ngon-ngon.,,
10058,Mereka merayakan ulang tahun di rumah_makan.,awaknyan rayakan ulang thon bak rumoh_makan.,,
10059,Mereka merencanakan acara reuni sekolah.,awaknyan peureuncana acara reuni sikula.,,
10060,Mereka merencanakan kerja bakti di lingkungan.,awaknyan peureuncana keureuja bakti bak lingkongan.,,
10061,Mereka merencanakan kunjungan ke panti asuhan.,awaknyan peureuncana kunjongan u panti asuhan.,,
10062,Mereka merencanakan perjalanan ke gunung bulan depan.,awaknyan peureuncana perjalanan u gunong buleuen keue.,,
10063,Mereka ngobrol sambil minum es teh.,awaknyan marit sira jep eh te.,,
10064,Mereka ngobrol soal liburan kemarin.,awaknyan marit soal liburan baroe.,,
10065,Mereka pergi berbelanja bersama-sama.,awaknyan jak meubelanja rame-rame.,,
10066,Mereka pergi ke pasar bersama.,awaknyan jak u pasai sajan.,,
10067,Mereka punya banyak saudara di luar kota.,awaknyan na le syedara di luwa kota.,,
